SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
la era,54786,teoloyucan,edomex,19.748159,-99.1929237,19.748159,-99.1929237,54786
altamira,53700,naucalpan de juarez,edomex,19.45331975,-99.2530058,19.4531907,-99.2515365,53700
san martin de las piramides,55850,san martin de las piramides,edomex,19.7033753,-98.8328436,19.704346,-98.8347275,55850
5 de mayo,55749,tecamac,edomex,19.69151905,-98.98155905,19.6916713,-98.9817178,55749
santa cruz,54783,teoloyucan,edomex,19.7586911,-99.15749,19.7578494,-99.1580693,54783
san francisco chimalpa,53650,naucalpan de juarez,edomex,19.43875065,-99.34337255,19.4390545,-99.3438981,53650
tequisistlan,56020,tezoyuca,edomex,19.5987266,-98.9422021,19.5966042,-98.9402176,56020
santa maria tonanitla,55785,tonanitla,edomex,19.68685745,-99.05160195,19.6879468,-99.0543447,55785
la palma,55507,ecatepec de morelos,edomex,19.55995405,-99.06298065,19.5576713,-99.0654022,55507
san francisco jolanpan,56070,tepetlaoxtoc,edomex,19.5742902,-98.8502536,19.5742902,-98.8502536,56070
lomas del cadete,53719,naucalpan de juarez,edomex,19.4356976,-99.2734533,19.4358535,-99.2737076,53719
general jose vicente villada,57710,nezahualcoyotl,edomex,19.38436565,-99.0095467,19.3835914,-99.0101299,57710
transportistas,56363,chimalhuacan,edomex,19.44107315,-98.9738946,19.4398291,-98.9756044,56363
fidel velazquez,54743,cuautitlan izcalli,edomex,19.63073655,-99.20629585,19.6304702,-99.2061741,54743
joyas de cuautitlan,54803,cuautitlan,edomex,19.68367225,-99.14549845,19.6840148,-99.1452039,54803
granjas valle de guadalupe sec,55270,ecatepec de morelos,edomex,19.5063812,-99.0609453,19.5048926,-99.0598732,55270
coatepec,56580,ixtapaluca,edomex,19.383126,-98.8430029,19.3852445,-98.8479381,56580
dr. jorge jimenez cantu,54190,tlalnepantla de baz,edomex,19.536974,-99.0934502,19.5385926,-99.0930528,54190
los heroes tecamac ii,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.0380623,55764
los heroes tecamac,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.0380623,55764
penitas,52920,atizapan de zaragoza,edomex,19.58532205,-99.22224015,19.5865698,-99.2217537,52920
fuentes de aragon,55248,ecatepec de morelos,edomex,19.516921,-99.03088875,19.5166635,-99.0308525,55248
las huertas 3a seccion,53427,naucalpan de juarez,edomex,19.4600989,-99.2894912,19.4600989,-99.2894912,53427
acuitlapilco primera seccion,56335,chimalhuacan,edomex,19.4205075,-98.9274983,19.4205075,-98.9274983,56335
san antonio xahuento,54976,tultepec,edomex,19.69046445,-99.1125816,19.6924429,-99.1110308,54976
olimpiada 68 (san rafael chama,53690,naucalpan de juarez,edomex,19.4445964,-99.2883166,19.4445964,-99.2883166,53690
visitacion,54890,melchor ocampo,edomex,19.7188278,-99.13770115,19.7193934,-99.1317797,54890
real del sol,55767,tecamac,edomex,19.6636608,-99.0206838,19.6636608,-99.0206838,55767
nuevo paseo de san agustin 2a,55130,ecatepec de morelos,edomex,19.5300614,-99.0397105,19.5293051,-99.0432887,55130
tlatel xochitenco,56366,chimalhuacan,edomex,19.44715815,-98.96716645,19.4462716,-98.9645594,56366
las brisas,55883,acolman,edomex,19.602871,-98.9794646,19.6024679,-98.9804371,55883
la piedad fase a,54720,cuautitlan izcalli,edomex,19.6615727,-99.23751665,19.6668322,-99.23699,54720
san rafael chamapa iv,53680,naucalpan de juarez,edomex,19.44464135,-99.27514015,19.4460926,-99.2750935,53680
central michoacana,55170,ecatepec de morelos,edomex,19.5218456,-99.0224032,19.5222713,-99.0218721,55170
santa maria ajoloapan,55679,hueypoxtla,edomex,19.9765798,-99.0491762,19.9771292,-99.0478549,55679
nuevo paseo de san agustin 2da,55130,ecatepec de morelos,edomex,19.527266,-99.0365203,19.527266,-99.0365203,55130
dos rios segunda seccion,54840,cuautitlan,edomex,19.67931185,-99.17605115,19.6795176,-99.1761681,54840
lomas de san agustin,53490,naucalpan de juarez,edomex,19.46164955,-99.25466505,19.4611149,-99.2550003,53490
parque san mateo (hacienda san,54830,cuautitlan,edomex,19.71095,-99.15843,19.71095,-99.15843,54830
