SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
denjhi,54253,jilotepec,edomex,19.9301123,-99.535789,19.9244154,-99.5360598,54253
del carmen,36300,san francisco del rincon,edomex,21.02074905,-101.85644895,21.0194158,-101.8578095,36300
san jose independencia,68407,san jose independencia,cdmx,18.2401036,-96.6442796,18.2397474,-96.646441,68407
universidad la salle,25298,saltillo,cdmx,25.44502605,-100.9068207,25.445005,-100.9068986,25298
santa maria de guadalupe san j,55628,zumpango,edomex,19.81958085,-99.1223216,19.820209,-99.1207129,55628
san jeronimo miacatlan,12600,milpa alta,cdmx,19.190712,-99.00515984999998,19.1908063,-99.0059861,12600
el pedregal,42994,atotonilco de tula,edomex,19.93739345,-99.23470125,19.9358839,-99.2352017,42994
ixtapan del oro,51070,ixtapan del oro,edomex,19.2631287,-100.26517305,19.262472,-100.2663235,51070
san pablo tepetlapa,4620,coyoacan,cdmx,19.322744550000003,-99.1417568,19.3225231,-99.1414643,4620
arbolada los sauces ii,55635,zumpango,edomex,19.8154792,-99.0425169,19.8157306,-99.0422522,55635
el rodeo,8510,iztacalco,cdmx,19.3947052,-99.0857377,19.3938331,-99.0854479,8510
paseos de lago ii,55607,zumpango,cdmx,19.79276005,-99.0668912,19.7926994,-99.0674757,55607
zapotlan de juarez centro,42190,zapotlan de juarez,edomex,19.96883295,-98.8644913,19.9746777,-98.8666032,42190
atacaxco,10378,la magdalena contreras,cdmx,19.31502415,-99.24974685,19.3152066,-99.2498046,10378
jardines del tepeyac,55220,ecatepec de morelos,edomex,19.5129009,-99.048942,19.5099377,-99.0474345,55220
la moraleja,42064,pachuca de soto,cdmx,20.10045315,-98.75752585,20.1019016,-98.7570658,42064
santa ana,55994,temascalapa,edomex,19.7696152,-98.9094425,19.7718389,-98.9107373,55994
santa maria atlihuetzian,90459,yauhquemecan,cdmx,19.384565,-98.1729204,19.3818139,-98.1748313,90459
san gerardo,20342,aguascalientes,cdmx,21.8051416,-102.2944283,21.804847,-102.2937824,20342
barrio la candelaria jolalpan,56070,tepetlaoxtoc,edomex,19.5856155,-98.848111,19.5856155,-98.848111,56070
san cristobal,56280,chiconcuac,edomex,19.54341155,-98.8971152,19.5434214,-98.8974438,56280
fracc ex hacienda sta ines,55790,nextlalpan,edomex,19.7065202,-99.069589,19.7065202,-99.069589,55790
el hielo,52794,huixquilucan,cdmx,19.42678665,-99.3506879,19.4276633,-99.3503102,52794
cuauhtemoc,6500,cuauhtemoc,cdmx,19.42982865,-99.16832125,19.4301322,-99.1691413,6500
espada,55670,hueypoxtla,edomex,19.91003475,-99.0769134,19.9109342,-99.0759074,55670
ex-hacienda san jorge,50100,toluca,edomex,19.292886400000004,-99.69566715,19.2928226,-99.6957314,50100
rafael j. garcia o chilchotla,75070,chilchotla,cdmx,19.2531376,-97.1854785,19.2531376,-97.1854785,75070
la reforma,42186,mineral de la reforma,cdmx,20.071555,-98.7464627,20.0713813,-98.7474284,42186
escandon i seccion,11800,miguel hidalgo,edomex,19.4018801,-99.18162925,19.4029153,-99.1829833,11800
ampliacion casas aleman,7580,gustavo a madero,edomex,19.4784428,-99.08477435,19.4785212,-99.0861392,7580
