SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
dario martinez ii seccion,56619,valle de chalco solidaridad,edomex,19.3121611,-98.9624921,19.3121611,-98.9624921,56618
centro del cerrillo,50960,villa victoria,edomex,19.54249245,-99.9734708,19.5442357,-99.9737548,50997
santa teresa 4,54614,huehuetoca,edomex,19.8612738,-99.2321902,19.8612741,-99.2321905,54710
san bartolo naucalpan (naucalp,53000,naucalpan de juarez,edomex,19.47412,-99.23557,19.47412,-99.23557,53070
martirez rio blanco,53780,naucalpan de juarez,edomex,19.4927301,-99.28353945,19.4892723,-99.2872758,53217
santa maria coatlan,55835,teotihuacan,edomex,19.6819629,-98.8378102,19.6819629,-98.8378102,55824
bosques de santo tomas,55066,ecatepec de morelos,edomex,19.6403093,-99.0030927,19.6403093,-99.0030927,55069
paseos de san juan,55600,zumpango,edomex,19.78277285,-99.0179027,19.7828622,-99.014274,55634
paseos del prado,54680,huehuetoca,edomex,19.837040100000003,-99.21368605,19.8367752,-99.2141366,54685
santa inez nextlalpan,55796,nextlalpan,edomex,19.7068956,-99.0722744,19.7068956,-99.0722744,55790
ampliacion acozac,56565,ixtapaluca,edomex,19.31052745,-98.9357031,19.3110198,-98.9363296,56550
centenario,55673,hueypoxtla,edomex,19.91651495,-99.07574845,19.9164544,-99.0754609,55670
la era,9720,iztapalapa,edomex,19.32207425,-98.88688235,19.3212181,-98.8852193,56530
los aguiluchos,55796,nextlalpan,edomex,19.7269997,-99.0893118,19.7269997,-99.0893118,55790
fraccionamiento citara,54680,huehuetoca,edomex,19.8730941,-99.2168469,19.8730941,-99.2168469,54696
la unidad,52059,lerma,edomex,19.41862185,-99.27583465,19.418459,-99.2754399,52776
hacienda los encinos,55365,zumpango,edomex,19.8072381,-99.0387976,19.807305,-99.038481,55635
salitrillo,54685,huehuetoca,edomex,19.82767605,-99.20366425,19.8273946,-99.203708,54684
endonica,54570,jilotzingo,edomex,19.49207655,-99.35515805,19.4921454,-99.3550888,54574
santo tomas,55069,ecatepec de morelos,edomex,19.5985633,-99.06358795,19.5986589,-99.0636386,55020
san pedro miltenco,55790,nextlalpan,edomex,19.73926665,-99.0730924,19.7415859,-99.0723139,55793
jose antonio torres,55128,ecatepec de morelos,edomex,19.50516475,-99.01764125,19.5051748,-99.01758,55260
los reyes nopala,56094,tepetlaoxtoc,edomex,19.5803549,-98.8359624,19.5787443,-98.8342081,56070
valle de las flores,54769,cuautitlan izcalli,edomex,19.62320975,-99.21987435,19.6227777,-99.2196762,54744
tenango,55870,acolman,edomex,19.639436,-98.9224289,19.639436,-98.9224289,55875
ensido,54570,jilotzingo,edomex,19.4955646,-99.3763181,19.4955646,-99.3763181,54574
nuevos paseos de san juan,55634,zumpango,edomex,19.8027524,-99.0601829,19.8027379,-99.0601272,55607
santa maria tetitla,52080,otzolotepec,edomex,19.4248963,-99.5577195,19.4247648,-99.5576126,52083
margarita moran,56589,ixtapaluca,edomex,19.33551245,-98.926699,19.3354593,-98.9267576,56566
emiliano zapata 1a seccion a,55220,ecatepec de morelos,edomex,19.5268486,-99.0573167,19.5268486,-99.0573167,55330
fraccionamiento rancho la capi,55746,tecamac,edomex,19.6667119,-99.028316,19.6667119,-99.028316,55767
la estrella,55210,ecatepec de morelos,edomex,19.6372739,-99.009672,19.6372739,-99.009672,55066
lomas de totolco tlatelco,56337,chimalhuacan,edomex,19.4009352,-98.93365465,19.4012497,-98.9332675,56390
lomas de tepeolulco,54192,tlalnepantla de baz,edomex,19.5528387,-99.09727315,19.5516468,-99.0972012,54193
san juan,56900,amecameca,edomex,19.12016175,-98.7691581,19.1201606,-98.7691142,56905
real de costitlan i,56386,chicoloapan de juarez,edomex,19.40951,-98.8968522,19.40951,-98.8968522,56370
santa cruz,56356,chimalhuacan,edomex,19.4330272,-98.9838449,19.4330272,-98.9838449,56366
santa cruz,56680,cocotitlan,edomex,19.28799645,-98.9362176,19.2884793,-98.9369537,56617
ciudad integral citara,54687,huehuetoca,edomex,19.87739315,-99.21242875,19.8760213,-99.2106745,54696
industrial,56803,ozumba,edomex,19.0486844,-98.78651955,19.0490099,-98.7859851,56800
culhuacan ctm seccion vii,4489,coyoacan,edomex,19.3441831,-99.1167039,19.3441831,-99.1167039,4260
granjas arenal,56310,atenco,edomex,19.59634515,-98.97416705,19.5954413,-98.9735333,55883
barrio cesteros,56366,chimalhuacan,edomex,19.44315255,-98.93647935,19.4431561,-98.9364559,56334
barrio de santiago 2da seccion,55615,zumpango,edomex,19.8049166,-99.0956112,19.804469,-99.0959884,55600
san martin,55853,san martin de las piramides,edomex,19.7047165,-98.8349486,19.7047165,-98.8349486,55850
san antonio,52065,xonacatlan,edomex,19.40880345,-99.5092754,19.4103627,-99.509648,52060
las antenas o claustro de sor,57130,nezahualcoyotl,edomex,19.4265844,-99.1362293,19.4265844,-99.1362293,6080
guadalupe,9500,z de trinidad sanchez santos,edomex,19.4977613,-99.2485166,19.4977765,-99.2485186,53100
ex-hacienda santa ines,55791,nextlalpan,edomex,19.70272275,-99.07199795,19.7044763,-99.0699314,55796
fraccionamiento la piedad,54720,ecatepec de morelos,edomex,19.53538,-99.04477,19.53538,-99.04477,55130
vicente guerrero 2a. seccion,54425,nicolas romero,edomex,19.6159883,-99.3328393,19.6159883,-99.3328393,54435
chimalpa,55885,acolman,edomex,19.63922425,-98.9074436,19.6420614,-98.9107373,55870
la rinconada,55653,tequixquiac,edomex,19.69160665,-99.09813384999998,19.693146,-99.0972012,54974
carlos salinas de gortari,55014,ecatepec de morelos,edomex,19.5592915,-99.06158345,19.5592907,-99.0615785,55507
los cedros,50960,villa victoria,edomex,19.50127415,-99.9879061,19.5022221,-99.9855555,50997
llano de las flores,53650,naucalpan de juarez,edomex,19.4350994,-99.3222248,19.4358333,-99.3224999,53658
evolucion super 22,57700,nezahualcoyotl,edomex,19.38361225,-98.991139,19.3834402,-98.9912454,57830
unidad habitacional san rafel,55719,coacalco de berriozabal,edomex,19.6639411,-99.0804558,19.663961,-99.080436,54930
ixotitla,55740,tecamac,edomex,19.70938775,-98.9594944,19.7081877,-98.9597277,55749
lomas de zolotepec ( la loma ),52070,xonacatlan,edomex,19.42091025,-99.4844559,19.4204344,-99.4860234,52073
la purisima,56300,atenco,edomex,19.57923835,-98.9343662,19.5790428,-98.93438,56315
san juan xochitenco,56360,chimalhuacan,edomex,19.4272428,-98.961129,19.4272428,-98.961129,56334
prados sur,54934,coacalco de berriozabal,edomex,19.68022975,-99.09309675,19.6805851,-99.0933104,54935
lomas de san francisco tepojac,54745,cuautitlan izcalli,edomex,19.6526371,-99.2610595,19.6526371,-99.2610595,54720
fracc. la canada 1,55763,tecamac,edomex,19.6984,-98.9654521,19.6984,-98.9654521,55749
el machero,54830,cuautitlan,edomex,19.68234375,-99.14918265,19.6823648,-99.1491857,54803
benito juarez,161,nezahualcoyotl,edomex,19.398625,-99.0421258,19.398625,-99.0421258,57630
hacienda las misiones,54680,huehuetoca,edomex,19.8403821,-99.1979154,19.8403821,-99.1979154,54685
arboledas,55663,apaxco,edomex,19.9827949,-99.1701162,19.9820165,-99.1712174,55660
ampliacion benito juarez,53799,naucalpan de juarez,edomex,19.4913128,-99.2192847,19.4913128,-99.2192847,53320
monfi,54570,jilotzingo,edomex,19.4929837,-99.3670034,19.4929837,-99.3670034,54574
virgen de guadalupe,54890,melchor ocampo,edomex,19.6958102,-99.1373601,19.6958102,-99.1373601,54883
atlanta 1a seccion,54740,cuautitlan izcalli,edomex,19.63952655,-99.1975957,19.6396415,-99.197551,54750
buenos aires,56300,texcoco,edomex,19.4468027,-98.87720364999998,19.4484374,-98.8767254,56250
bo talabarteros,56356,chimalhuacan,edomex,19.44315255,-98.93647935,19.4431561,-98.9364559,56334
paseo de la manzana,54680,huehuetoca,edomex,19.84216525,-99.2420118,19.8412249,-99.2441064,54694
ex-hacienda el pedregal,52918,atizapan de zaragoza,edomex,19.5769699,-99.259413,19.5769699,-99.259413,52916
miraflores,54160,tlalnepantla de baz,edomex,19.6003804,-99.2520334,19.6001246,-99.2518829,52918
barrio tejedores,56356,chimalhuacan,edomex,19.44315255,-98.93647935,19.4431561,-98.9364559,56334
barron,54400,nicolas romero,edomex,19.61159925,-99.30065015,19.6117938,-99.300842,54402
azoyatla de ocampo (azoyatla),42182,mineral de la reforma,edomex,20.098392,-98.6944881,20.098392,-98.6944881,42187
gustavo baz prada los reyes ix,54090,tlalnepantla de baz,edomex,19.5613453,-99.17595895,19.5616105,-99.1767541,54120
