SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
ejidal santa cruz del monte,54786,teoloyucan,edomex,19.76915715,-99.22839955,19.7688816,-99.2300641,54667
2a cerrada de alcatraz,7119,tlalnepantla de baz,edomex,19.5253578,-99.2147047,19.5253578,-99.2147047,54070
los heroes ecatepec seccion i,55023,ecatepec de morelos,cdmx,19.55670835,-99.03827945,19.5567812,-99.0381653,55100
ticoman,7320,gustavo a madero,cdmx,19.51145835,-99.13206545,19.5109705,-99.1323577,7340
viveros de coatectlan,14470,tlalpan,cdmx,19.245027800000003,-99.1535146,19.2446122,-99.1532259,14479
mexico 86 (la chacona),53000,naucalpan de juarez,edomex,19.4599693,-99.2883986,19.4599693,-99.2883986,53427
19 de mayo,1504,alvaro obregon,cdmx,19.36147215,-99.25341915,19.361418,-99.2532684,1500
el paraje,54949,tultitlan,edomex,19.60700205,-99.17898715,19.6071507,-99.1795226,54959
villas trabajadores del gobier,13278,tlahuac,cdmx,19.2801819,-99.0544789,19.2801819,-99.0544789,16634
san pedro,8220,iztacalco,cdmx,19.41865905,-99.06040235,19.4186509,-99.0602963,8100
morelos,15940,venustiano carranza,cdmx,19.43978535,-99.081473,19.4398943,-99.0817199,15520
san jose de los leones 1a secc,53730,naucalpan de juarez,cdmx,19.44570515,-99.26783195,19.4457051,-99.2678316,53760
ampliacion el carmen,55025,ecatepec de morelos,edomex,19.60873,-99.05459,19.60873,-99.05459,55024
guadalupita,16740,xochimilco,cdmx,19.26448595,-99.1018078,19.2644944,-99.1016955,16070
1a victoria,1160,alvaro obregon,cdmx,19.3769637,-99.22300905,19.3769687,-99.2230202,1290
ticoman,7330,gustavo a madero,cdmx,19.51145835,-99.13206545,19.5109705,-99.1323577,7340
barrio el truenito,14430,tlalpan,cdmx,19.27641,-99.16732,19.27641,-99.16732,14630
ampliacion los olivos,13210,tlahuac,cdmx,19.3103032,-99.0526415,19.3103924,-99.0526171,13219
gertrudis sanchez 2a seccion,7839,gustavo a madero,cdmx,19.4437577,-99.100355,19.4437577,-99.100355,15440
humberto vidal,56605,chalco,edomex,19.33185435,-98.9294717,19.3319597,-98.9293836,56566
santa cruz tlapacoya,56589,ixtapaluca,edomex,19.3087795,-98.9083181,19.3083507,-98.9072885,56577
paraje zacatepec,9560,iztapalapa,cdmx,19.3514817,-99.00779915,19.3516062,-99.0080208,9608
ampliacion emiliano zapata,56558,ixtapaluca,edomex,19.31052745,-98.9357031,19.3110198,-98.9363296,56550
paraje del caballito,1856,alvaro obregon,cdmx,19.3151606,-99.2714555,19.3151525,-99.2716063,1857
potrerero de san bernardino,16019,xochimilco,edomex,19.2698131,-99.11965645,19.2698385,-99.1200213,16030
villa xochimilco,16058,xochimilco,cdmx,19.26692055,-99.12554165,19.2668261,-99.1250357,16030
mexico tercera seccion,57440,nezahualcoyotl,edomex,19.3678267,-99.0238785,19.3678267,-99.0238785,9239
coanalco buenavista,55310,ecatepec de morelos,edomex,19.5561323,-99.07767095,19.5561092,-99.0775995,55520
isidro fabela (tabiqueras 11 y,53689,naucalpan de juarez,edomex,19.3658822,-99.2858652,19.3658822,-99.2858652,5200
miguel hidalgo 3a seccion,14250,tlalpan,cdmx,19.2876729,-99.1618129,19.2876729,-99.1618129,14080
mexico 86 (la chacona),53428,naucalpan de juarez,edomex,19.4599693,-99.2883986,19.4599693,-99.2883986,53427
san mateo (villa milpa alta),12000,milpa alta,edomex,19.18987715,-99.0299483,19.1888788,-99.0301617,12005
2a ampliacion presidentes,1299,alvaro obregon,cdmx,19.3692714,-99.23260715,19.3692805,-99.232595,1298
miguel de la madrid hurtado,9698,iztapalapa,cdmx,19.35037,-99.00397,19.35037,-99.00397,9600
ampliacion escalerillas,56567,ixtapaluca,edomex,19.31052745,-98.9357031,19.3110198,-98.9363296,56550
san grego cua,56640,chalco,edomex,19.2801422,-98.8899171,19.2805542,-98.8896505,56605
pueblo de los reyes,4330,coyoacan,cdmx,19.34798,-99.11134,19.34798,-99.11134,9840
la cruz,8310,iztacalco,cdmx,19.412726,-99.13021585,19.4127185,-99.1297742,6870
solidaridad 90,55118,ecatepec de morelos,edomex,19.4990701,-99.0320975,19.4996108,-99.0329251,55290
ampliacion santa maria tulpetl,55418,ecatepec de morelos,edomex,19.5760366,-99.0634052,19.5760366,-99.0634052,55410
ampliacion selene,13420,tlahuac,cdmx,19.2867859,-98.99477665,19.2863979,-98.9942463,13430
santa cruz,56356,chimalhuacan,edomex,19.4330272,-98.9838449,19.4330272,-98.9838449,56366
