SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
miguel hidalgo,14260,tlalpan,cdmx,19.287350250000003,-99.1614428,19.2873305,-99.161003,
la lupita,13510,tlahuac,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
egidos de san agustin,57850,nezahualcoyotl,edomex,19.38370695,-98.97979095,19.3838285,-98.9756044,
maria g. de garcia ruiz,1160,alvaro obregon,cdmx,19.38771405,-99.2123837,19.3874121,-99.2127518,
atras del tequiquil,54180,tlalnepantla de baz,cdmx,19.51086115,-99.10539645,19.5110877,-99.1051529,
lomas de san lorenzo,9780,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
faja de oro,55490,ecatepec de morelos,edomex,19.53085765,-99.04940165,19.5307477,-99.0494211,
cuautepec barrio alto,7100,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
rincon de la bolsa,1840,alvaro obregon,cdmx,19.3318721,-99.2522896,19.3320003,-99.2525756,
portezuelos,56335,chimalhuacan,cdmx,19.39177635,-98.9377561,19.3910505,-98.9385463,
isidro fabela,54110,tlalnepantla de baz,edomex,19.5816516,-99.19289135,19.5817783,-99.1930203,
el almarcigo sur,55415,ecatepec de morelos,cdmx,19.5747866,-99.06934965,19.574447,-99.068858,
bulevares del lago,54473,nicolas romero,edomex,19.60012525,-99.2727811,19.598982,-99.274054,
lomas de tepalcapa ampliacion,52928,atizapan de zaragoza,edomex,19.58923395,-99.2419032,19.5891511,-99.2432239,
insurgentes,9750,iztapalapa,cdmx,19.3309619,-99.05373045,19.3305971,-99.0536536,
caja de agua,54460,nicolas romero,edomex,19.6436366,-99.36489955,19.6426785,-99.3633143,
movimiento organizado,14620,tlalpan,cdmx,19.2667955,-99.15318115,19.2668955,-99.1522059,
san isidro atlautenco,50070,ecatepec de morelos,cdmx,19.62062325,-98.98765685,19.6191114,-98.9866509,
jose maria pino suarez,1140,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
guadalupe insurgentes,7870,gustavo a madero,cdmx,19.4757767,-99.1324027,19.4739758,-99.1324714,
golondrinas 2a seccion,1270,alvaro obregon,cdmx,19.45736305,-99.26307595,19.4574353,-99.2631203,
san isidro,54882,melchor ocampo,edomex,19.7058477,-99.13698205,19.7057735,-99.1386972,
albarrada,9249,iztapalapa,cdmx,19.35909735,-99.0685124,19.3588785,-99.0683951,
jose lopez portillo,9920,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
alfredo del mazo,55118,ecatepec de morelos,cdmx,19.5650261,-99.0183579,19.5645212,-99.0170369,
monton cuarteles,52779,huixquilucan,cdmx,19.410909,-99.2782595,19.4120754,-99.2778653,
olivar del conde 1a seccion,1400,alvaro obregon,cdmx,19.37463915,-99.2076747,19.3752791,-99.2051355,
ampliacion san pablo de las sa,54938,tultitlan,cdmx,19.64570175,-99.16252585,19.6392125,-99.1668646,
villas de san jose,54910,tultitlan,edomex,19.63399855,-99.130753,19.6336074,-99.131108,
mexico tacuba,11239,miguel hidalgo,cdmx,19.4514051,-99.19129395,19.4595282,-99.1899433,
lomas de sotelo,11200,miguel hidalgo,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
lomas de tenapalco,54893,melchor ocampo,edomex,19.7042796,-99.1113596,19.7019444,-99.1108333,
san jose rio hondo (rio hondo),53810,naucalpan de juarez,cdmx,19.436232749999995,-99.25075505,19.4362374,-99.2506141,
fuego nuevo,9800,iztapalapa,cdmx,19.33194535,-99.09981,19.3327398,-99.0992755,
piedad narvarte,3000,benito juarez,cdmx,19.4026247,-99.15601085,19.403193,-99.1556476,
arenal 4a seccion,15640,venustiano carranza,cdmx,19.43171425,-99.05759745,19.4315974,-99.0595277,
los angeles,9830,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
valle dorado (san rafael chama,53690,naucalpan de juarez,edomex,19.457758400000003,-99.2568824,19.457712,-99.2567323,
el mirador,9800,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
ampliacion jalalpa,1296,alvaro obregon,cdmx,19.3766717,-99.23344939999998,19.3771683,-99.2331807,
lomas de san sebastian,56512,la paz,cdmx,19.3820638,-98.9335294,19.3822212,-98.9335037,
luisa isabel campos de jimenez,53663,naucalpan de juarez,edomex,19.2525128,-99.633745,19.2526546,-99.6330911,
san miguel hila,54424,nicolas romero,cdmx,19.59515295,-99.3252767,19.5936111,-99.3252777,
uam,52919,atizapan de zaragoza,edomex,19.60483315,-99.25047995,19.6050024,-99.250151,
geovillas ixtapaluca 2000,56530,ixtapaluca,edomex,19.31767685,-98.8962591,19.3177697,-98.8963379,
nueva industrial vallejo,7700,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
santa cruz (villa milpa alta),12000,milpa alta,cdmx,19.19917075,-99.0155883,19.1990995,-99.0170369,
sierra hermosa,55749,tecamac,edomex,19.691787750000003,-99.0006589,19.6894655,-98.9949368,
santiaguito,54900,tultitlan,edomex,19.6512837,-99.16169545,19.6514393,-99.1636051,
ampliacion martires de rio bla,7859,gustavo a madero,cdmx,19.571732150000003,-99.1314068,19.5717388,-99.131428,
forestal ii,7144,gustavo a madero,cdmx,19.5685448,-99.1265933,19.5682129,-99.1265919,
adolfo ruiz cortines,55050,ecatepec de morelos,edomex,19.60130125,-99.0312413,19.6013822,-99.0315434,
el paraiso,9208,iztapalapa,cdmx,19.3767288,-99.03123795,19.3781412,-99.0308525,
el callejon,55418,ecatepec de morelos,edomex,19.56340585,-99.0553239,19.5637026,-99.0553812,
san pedro,56334,chimalhuacan,cdmx,19.42411845,-98.9462856,19.4235095,-98.9479948,
leyes de reforma 1a seccion,9310,iztapalapa,cdmx,19.35987015,-99.070914,19.3613411,-99.0723139,
san bartolome xicomulco,12250,milpa alta,cdmx,19.20743265,-99.06882065,19.2053404,-99.0695492,
jardines de la hacienda sur,54720,cuautitlan izcalli,edomex,19.67807545,-99.2051242,19.6730347,-99.2023662,
analco,54783,teoloyucan,edomex,19.75264955,-99.16689945,19.7549634,-99.1712174,
santo domingo,2160,azcapotzalco,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
chinampac de juarez frente vii,9208,iztapalapa,cdmx,19.374571350000004,-99.0514939,19.3771184,-99.0557998,
san pedro xalpa,2710,azcapotzalco,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
cinco de mayo,52997,atizapan de zaragoza,cdmx,19.5648696,-99.2381159,19.5609356,-99.2441459,
jardin,56619,valle de chalco solidaridad,edomex,19.2771518,-98.9372488,19.276692,-98.9369537,
viveros de la loma,54080,tlalnepantla de baz,cdmx,19.5222982,-99.219744,19.5217414,-99.2217537,
ampliacion puente colorado,1730,alvaro obregon,cdmx,19.34712255,-99.2303752,19.3467318,-99.2307566,
las brisas,54970,tultepec,edomex,19.69682305,-99.104983,19.6967957,-99.1051529,
vicente guerrero,9200,venustiano carranza,cdmx,19.40950495,-99.1178492,19.4093356,-99.1178232,
cerro del tejolote,56567,ixtapaluca,edomex,19.31881025,-98.9123085,19.3191664,-98.9121169,
parres el guarda,14900,tlalpan,cdmx,19.1338122,-99.17690224999998,19.1359482,-99.1767541,
olivar delconde,1408,alvaro obregon,cdmx,19.3721124,-99.21403379999998,19.3715611,-99.21309800000002,
carlos hank gonzalez,9700,iztapalapa,cdmx,19.32968545,-99.0949001,19.3297616,-99.0949354,
san pablo chimalpa,5050,cuajimalpa de morelos,cdmx,19.35524545,-99.3176796,19.3547558,-99.3187612,
p.i.p.s.a.,54160,tlalnepantla de baz,edomex,19.52818405,-99.17376035,19.5275457,-99.1729476,
san lorenzo tezonco,9900,iztapalapa,cdmx,19.3112134,-99.0678016,19.3122309,-99.0674757,
san lorenzo totolinga 1a secci,53426,naucalpan de juarez,edomex,19.3555351,-99.2169065,19.3548789,-99.2165176,
santa maria tlayacampa,54110,tlalnepantla de baz,edomex,19.5714496,-99.1857631,19.5706922,-99.1878751,
canada de cisneros,54650,tepotzotlan,edomex,19.70039445,-99.33917815,19.6967966,-99.3329964,
barrio san pedro,8220,iztacalco,edomex,19.39896695,-99.09648435,19.3948036,-99.0976808,
san vicente chicoloapan de jua,56371,chicoloapan de juarez,edomex,19.41047735,-98.9051412,19.4143591,-98.9062442,
lomas del pedregal,14220,tlalpan,cdmx,19.273766,-99.2185607,19.2733469,-99.2186375,
conjunto habitacional los hero,56644,chalco,edomex,19.32738755,-98.8765405,19.3255414,-98.8721186,
loma colorada 2da. seccion,53427,naucalpan de juarez,edomex,19.4599015,-99.27587325,19.4592777,-99.2764794,
miguel hidalgo,14250,tlalpan,cdmx,19.287350250000003,-99.1614428,19.2873305,-99.161003,
cuartos constitucion (san rafa,53664,naucalpan de juarez,edomex,19.45834305,-99.2570355,19.4574688,-99.2602351,
miguel hidalgo 4a seccion,14250,tlalpan,cdmx,19.27236805,-99.2095028,19.2719088,-99.2106745,
zacuautitla,55700,coacalco de berriozabal,cdmx,19.63026705,-99.09652475,19.6312355,-99.0972012,
almarsigo sur,55415,ecatepec de morelos,cdmx,19.5747866,-99.06934965,19.574447,-99.068858,
ampliacion el santuario,9820,iztapalapa,cdmx,19.3516936,-99.09521745,19.3520979,-99.0951269,
lomas de san andres atenco amp,54040,tlalnepantla de baz,edomex,19.54270585,-99.23003985,19.5426434,-99.2307566,
san juan de aragon,7910,gustavo a madero,cdmx,19.46941155,-99.08731635,19.4686303,-99.0923614,
los heroes ecatepec seccion v,55060,ecatepec de morelos,edomex,19.55707,-99.0361204,19.5571112,-99.0362168,
san rafael chamapa,53690,naucalpan de juarez,edomex,19.457758400000003,-99.2568824,19.457712,-99.2567323,
ano de juarez,9780,iztapalapa,cdmx,19.31953305,-99.07332375,19.319672,-99.0733507,
san pablo xalpa,54090,tlalnepantla de baz,cdmx,19.5093654,-99.1836958,19.5096873,-99.1836755,
llano redondo,1540,alvaro obregon,cdmx,19.35612555,-99.2444961,19.3559506,-99.2449556,
guelatao de juarez 1,9208,iztapalapa,cdmx,19.3499949,-99.078973,19.3499949,-99.078973,
el corralito,53667,naucalpan de juarez,edomex,19.4595922,-99.2715313,19.4594909,-99.2723217,
ampliacion arenal,56527,la paz,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
cruz del farol,14248,tlalpan,cdmx,19.2699362,-99.2123335,19.2692444,-99.2124056,
geovillas ixtapaluca 2000,56570,ixtapaluca,cdmx,19.31767685,-98.8962591,19.3177697,-98.8963379,
loma bonita,55767,tecamac,cdmx,19.667871,-99.00587285,19.668269,-99.0059861,
el olivo ii parte alta carlos,54119,tlalnepantla de baz,edomex,19.57594715,-99.18873285,19.5757103,-99.189213,
industrial,7800,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
atlanta 1a seccion,54740,cuautitlan izcalli,cdmx,19.6423627,-99.21538155,19.6435497,-99.2131555,
jardines de san lorenzo tezonc,9900,iztapalapa,cdmx,19.29612255,-99.0737861,19.2957517,-99.0730051,
granjas lomas de guadalupe,54767,cuautitlan izcalli,edomex,19.62040685,-99.2135496,19.6206076,-99.2117131,
apliacion playas de san juan,55070,ecatepec de morelos,cdmx,19.61030745,-98.99568215,19.6075363,-98.9970085,
el olivo ii parte alta carlos,54119,tlalnepantla de baz,cdmx,19.57594715,-99.18873285,19.5757103,-99.189213,
nueva diaz ordaz,4390,coyoacan,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
selene,13420,tlahuac,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
adolfo lopez mateos,52910,atizapan de zaragoza,cdmx,19.58768005,-99.2648809,19.5876954,-99.2643534,
asturias,6890,cuauhtemoc,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san miguel (del pueblo de san,13640,tlahuac,cdmx,19.22253075,-98.96270695,19.2230719,-98.9638691,
olimpica,53690,naucalpan de juarez,edomex,19.4438422,-99.28785,19.4439798,-99.2875676,
progreso tizapan,1080,alvaro obregon,cdmx,19.335179850000003,-99.20272665,19.3348115,-99.2044432,
adolfo lopez mateos ampliacion,52910,atizapan de zaragoza,edomex,19.58768005,-99.2648809,19.5876954,-99.2643534,
olimpica (san rafael chamapa v,53690,naucalpan de juarez,edomex,19.4447719,-99.28975945,19.4446056,-99.2897924,
lomas de san juan ixhuatepec 2,7363,gustavo a madero,cdmx,19.5090927,-99.1077544,19.5094745,-99.1079189,
villas de la hacienda,52929,atizapan de zaragoza,edomex,19.6003844,-99.22994895,19.6008781,-99.2300641,
olimpica 68 i,55130,ecatepec de morelos,edomex,19.52408045,-99.03808245,19.5243891,-99.0384522,
santiago acahualtepec 2a. ampl,9609,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
ejidos de san agustin,57850,nezahualcoyotl,edomex,19.38370695,-98.97979095,19.3838285,-98.9756044,
el santuario,9820,iztapalapa,cdmx,19.3536758,-99.0933283,19.3537095,-99.0923614,
cumbres de san mateo,53227,naucalpan de juarez,edomex,19.49768305,-99.26638565,19.497723,-99.266432,
magdalena atlazolpa,9410,iztapalapa,cdmx,19.3758251,-99.11097465,19.3748367,-99.1117223,
san jose el jaral,52924,atizapan de zaragoza,edomex,19.5962897,-99.22183555,19.5954107,-99.2217537,
cerrillos tercera seccion,16780,xochimilco,cdmx,19.23649675,-99.0807197,19.2572314,-99.1029664,
cumbres de tepetongo,14420,tlalpan,cdmx,19.2725729,-99.18850915,19.2726759,-99.1881747,
san javier,54030,tlalnepantla de baz,edomex,19.53808955,-99.1897584,19.5381717,-99.1885208,
san bartolo ameyalco,1800,alvaro obregon,cdmx,19.32708065,-99.27116095,19.331764,-99.2692876,
pueblo san lorenzo,9130,iztapalapa,edomex,19.3428458,-99.05017105,19.342083,-99.0532159,
tlayehuale,56586,ixtapaluca,cdmx,19.3219249,-98.89446715,19.3218687,-98.8945289,
prados norte,54938,tultitlan,edomex,19.6851085,-99.0916706,19.6863769,-99.0917354,
arcos de la hacienda,55770,tecamac,edomex,19.6674037,-99.20752245,19.6676276,-99.2072126,
