SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
la providencia,54783,teoloyucan,edomex,19.754743750000003,-99.14661685,19.7605927,-99.1476908,
la viga (cerro loco),53658,naucalpan de juarez,edomex,19.425037,-99.37144745,19.4247455,-99.3712672,
san lorenzo totolinga,53426,naucalpan de juarez,edomex,19.46154025,-99.2638301,19.4606891,-99.2633141,
san bartolo ameyalco,1800,alvaro obregon,cdmx,19.32708065,-99.27116095,19.331764,-99.2692876,
miguel hidalgo,14250,tlalpan,cdmx,19.287350250000003,-99.1614428,19.2873305,-99.161003,
leyes de reforma 1a seccion,9310,iztapalapa,cdmx,19.35987015,-99.070914,19.3613411,-99.0723139,
los heroes,56585,ixtapaluca,edomex,19.32738755,-98.8765405,19.3255414,-98.8721186,
olivar del conde 1a seccion,1400,alvaro obregon,cdmx,19.37463915,-99.2076747,19.3752791,-99.2051355,
san jose tlacotitlan,56810,ozumba,edomex,18.98653435,-98.80965955,18.9858333,-98.8061111,
san lorenzo totolinga 1a seccion,53426,naucalpan de juarez,edomex,19.3555351,-99.2169065,19.3548789,-99.2165176,
monton cuarteles,52779,huixquilucan,edomex,19.410909,-99.2782595,19.4120754,-99.2778653,
eduardo molina,7458,gustavo a madero,cdmx,19.46856625,-99.10049885,19.4689925,-99.1018894,
merced gomez,1600,alvaro obregon,cdmx,19.36708615,-99.20168505,19.3663017,-99.1933664,
agrarista,56605,chalco,edomex,19.28790855,-98.9058723,19.2879233,-98.90315,
san mateo cuautepec,54948,tultitlan,edomex,19.62454545,-99.1443722,19.6230919,-99.1414643,
sierra hermosa,55749,tecamac,edomex,19.691787750000003,-99.0006589,19.6894655,-98.9949368,
san andres de la canada,55519,ecatepec de morelos,edomex,19.56922795,-99.09405435,19.5687699,-99.0937441,
san lorenzo parte alta,56340,chimalhuacan,edomex,19.40500435,-98.96645245,19.4041667,-98.9666302,
lomas el manto,9830,iztapalapa,cdmx,19.35045975,-99.0864584,19.3510398,-99.0868305,
8 de agosto,1180,alvaro obregon,cdmx,19.3946695,-99.189371,19.3948487,-99.1895591,
central,57500,nezahualcoyotl,edomex,19.41360595,-99.04138595,19.4133393,-99.0415613,
san juan cerro,9830,iztapalapa,cdmx,19.34632765,-99.0814041,19.3469658,-99.0799175,
el santuario,9820,iztapalapa,cdmx,19.3536758,-99.0933283,19.3537095,-99.0923614,
los reyes ixtacala 1ra. seccion,54090,tlalnepantla de baz,edomex,19.52976305,-99.19419425,19.5295926,-99.1942317,
san lorenzo huehuetitlan,52614,tianguistenco,edomex,19.1353242,-99.48437345,19.1341666,-99.4822222,
villas de la hacienda,52929,atizapan de zaragoza,edomex,19.6003844,-99.22994895,19.6008781,-99.2300641,
miguel hidalgo 2a seccion,14250,tlalpan,cdmx,19.2820949,-99.1963643,19.2814434,-99.1968277,
lomas de puerta grande,1630,alvaro obregon,cdmx,19.3577432,-99.23310035,19.3580574,-99.2324881,
san lucas huitzilhuacan,56040,chiautla,edomex,19.5901166,-98.8872289,19.5888011,-98.8845297,
forestal ii,7144,gustavo a madero,cdmx,19.5685448,-99.1265933,19.5682129,-99.1265919,
la presa,1270,alvaro obregon,cdmx,19.382337,-99.2121719,19.382678,-99.2117131,
carlos hank gonzalez,55520,ecatepec de morelos,edomex,19.54045545,-99.0822938,19.5403777,-99.0823119,
zapotitla,13310,tlahuac,cdmx,19.3068385,-99.04123615,19.306715,-99.0413886,
santa teresa 3 y 3 bis,54695,huehuetoca,edomex,19.82822805,-99.20332645,19.8277305,-99.2037508,
1a seccion canada,1269,alvaro obregon,cdmx,19.3555351,-99.2169065,19.3548789,-99.2165176,
valle de la hacienda,54715,cuautitlan izcalli,edomex,19.69009875,-99.2057575,19.6905778,-99.2051355,
la presa (tejocote),53217,naucalpan de juarez,edomex,19.4861886,-99.28794564999998,19.485729,-99.2884339,
caracol,15500,venustiano carranza,cdmx,19.4256939,-99.06972199999998,19.4257345,-99.0696686,
ampliacion lopez portillo,13400,tlahuac,cdmx,19.3028008,-99.02076185,19.3031305,-99.0208359,
cruz del farol,14248,tlalpan,cdmx,19.2699362,-99.2123335,19.2692444,-99.2124056,
caltenco,54665,coyotepec,edomex,19.7851966,-99.1996989,19.7850525,-99.2023662,
emilio chuayffet,54927,tultitlan,edomex,19.6809048,-99.0751596,19.6806147,-99.0754244,
atzacoalco,54784,teoloyucan,edomex,19.73726175,-99.1770943,19.7362179,-99.1774462,
jardin,56617,valle de chalco solidaridad,edomex,19.2771518,-98.9372488,19.276692,-98.9369537,
el cegor,55120,ecatepec de morelos,edomex,19.5399622,-99.0380567,19.5391971,-99.0370703,
golondrinas 2a seccion,1270,alvaro obregon,cdmx,19.45736305,-99.26307595,19.4574353,-99.2631203,
las tortolas,54927,tultitlan,edomex,19.6773253,-99.0754165,19.6772803,-99.07577,
ampliacion arboledas,7140,gustavo a madero,cdmx,19.533130450000005,-99.16487125,19.5329331,-99.1648798,
chinampac de juarez frente vii,9208,iztapalapa,cdmx,19.374571350000004,-99.0514939,19.3771184,-99.0557998,
la draga,13273,tlahuac,cdmx,19.2838119,-99.04241315,19.2840056,-99.04259770000002,
segunda ampliacion jalalpa tepito,1296,alvaro obregon,cdmx,19.3766717,-99.23344939999998,19.3771683,-99.2331807,
el molino tezonco,9960,iztapalapa,cdmx,19.2979995,-99.06824445,19.2974313,-99.068858,
fraccionamiento los heroes,56585,ixtapaluca,edomex,19.32738755,-98.8765405,19.3255414,-98.8721186,
conjunto urbano la piedad,54720,cuautitlan izcalli,edomex,19.6650138,-99.2346336,19.6668322,-99.23699,
san isidro,54882,melchor ocampo,edomex,19.7058477,-99.13698205,19.7057735,-99.1386972,
villa maria,54895,melchor ocampo,edomex,19.7056237,-99.13772175,19.7031072,-99.1434964,
lomas del olivo,52788,huixquilucan,edomex,19.3924638,-99.2771572,19.3918429,-99.2775188,
santa maria nativitas,56335,chimalhuacan,edomex,19.41080055,-98.9334334,19.4109939,-98.9328137,
santa cruz meyehualco,9700,iztapalapa,cdmx,19.3396262,-99.04304805,19.3392843,-99.0419068,
san martin de  porres,55050,ecatepec de morelos,edomex,19.59908335,-99.02594405,19.5987809,-99.0246352,
san francisco de paula (paula),55993,temascalapa,edomex,19.80472795,-98.9283119,19.8045306,-98.9259219,
lomas de san sevastian,56512,la paz,edomex,19.3820638,-98.9335294,19.3822212,-98.9335037,
valle dorado,53690,naucalpan de juarez,edomex,19.4479087,-99.2669281,19.4479916,-99.2667784,
progreso tizapan,1080,alvaro obregon,cdmx,19.335179850000003,-99.20272665,19.3348115,-99.2044432,
jardines de xalostoc,55330,ecatepec de morelos,edomex,19.52313725,-99.06093775,19.5235961,-99.061601,
la luna,53220,naucalpan de juarez,edomex,19.5047865,-99.2710994,19.5047681,-99.2726682,
santa martha (villa milpa alta),12000,milpa alta,cdmx,19.19987855,-99.02950065,19.1985544,-99.0280892,
prensa nacional,54170,tlalnepantla de baz,edomex,19.5109166,-99.1705356,19.5103913,-99.1698333,
analco,54783,teoloyucan,edomex,19.75264955,-99.16689945,19.7549634,-99.1712174,
loma colorada 2da. seccion,53427,naucalpan de juarez,edomex,19.4599015,-99.27587325,19.4592777,-99.2764794,
pueblo nuevo bajo,10640,la magdalena contreras,cdmx,19.30638695,-99.24546715,19.3061967,-99.2459947,
el pocito,1280,alvaro obregon,cdmx,19.38179925,-99.20923115,19.3822223,-99.209809,
san francisco culhuacan barrio de san juan,4260,coyoacan,cdmx,19.2719261,-99.0073611,19.2706669,-99.007022,
el salado,56310,atenco,edomex,19.58375855,-98.98296855,19.5842813,-98.9756044,
miguel hidalgo,14260,tlalpan,cdmx,19.287350250000003,-99.1614428,19.2873305,-99.161003,
el refugio,55655,tequixquiac,edomex,19.9073204,-99.1330461,19.9095143,-99.1331631,
