SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
caltenco,54665,coyotepec,edomex,19.7851966,-99.1996989,19.7850525,-99.2023662,
acatepec,43050,huautla,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
la providencia,54783,teoloyucan,edomex,19.754743750000003,-99.14661685,19.7605927,-99.1476908,
san lucas huitzilhuacan,56040,chiautla,edomex,19.5901166,-98.8872289,19.5888011,-98.8845297,
villa magna,43806,tizayuca,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
bulevares del lago,54473,nicolas romero,edomex,19.60012525,-99.2727811,19.598982,-99.274054,
solidaridad,56740,tlalmanalco,edomex,19.2113769,-98.7621802,19.2113042,-98.762057,
ehecatl (paseos de ecatepec),55029,ecatepec de morelos,edomex,19.62620695,-99.0489188,19.6266072,-99.0491856,
santa lilia chamapa,53490,naucalpan de juarez,edomex,19.4594093,-99.25915655,19.4590786,-99.2588107,
san francisco de paula (paula),55993,temascalapa,edomex,19.80472795,-98.9283119,19.8045306,-98.9259219,
viento nuevo,55074,ecatepec de morelos,edomex,19.60890425,-99.00412305,19.6086647,-99.0039142,
villas 2000,55600,zumpango,cdmx,19.8013561,-99.06664185,19.8004975,-99.0664611,
chinampac de juarez frente vii,9208,iztapalapa,cdmx,19.374571350000004,-99.0514939,19.3771184,-99.0557998,
santiago,54784,teoloyucan,edomex,19.7469885,-99.1692846,19.7468916,-99.1705253,
integral adolfo lopez mateos,30413,cintalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
lazaro cardenas,54189,tlalnepantla de baz,cdmx,19.52211815,-99.1301369,19.5234533,-99.128226,
san isidro,54882,melchor ocampo,edomex,19.7058477,-99.13698205,19.7057735,-99.1386972,
la guadalupana bicentenario hu,54694,huehuetoca,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
santa teresa 3 y 3 bis,54695,huehuetoca,edomex,19.82822805,-99.20332645,19.8277305,-99.2037508,
la finca,64000,monterrey,cdmx,25.64876775,-100.30900075,25.6866142,-100.3161126,
santiago 1a. seccion,55600,zumpango,cdmx,19.3555351,-99.2169065,19.3548789,-99.2165176,
haciendas de tizayuca,43815,tizayuca,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san bartolo ameyalco,1800,alvaro obregon,cdmx,19.32708065,-99.27116095,19.331764,-99.2692876,
techichilco,56680,cocotitlan,edomex,19.2344797,-98.8619505,19.2333073,-98.8597095,
tepetitlan,56040,chiautla,edomex,19.5758194,-98.86994065,19.5747363,-98.8707397,
loma bonita,54697,huehuetoca,edomex,19.83500525,-99.27786565,19.8340925,-99.2799443,
san jose tejamanil,53659,naucalpan de juarez,edomex,19.4340978,-99.35953615,19.4350739,-99.3603713,
san pedro chiautzingo,56087,tepetlaoxtoc,edomex,19.56967055,-98.788192,19.5705555,-98.7869444,
