SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
ampliacion  general jose vicen,57710,nezahualcoyotl,edomex,19.38436565,-99.00954669999999,19.3835914,-99.0101299,57710
santa catarina,56030,chiautla,edomex,19.5495804,-98.88019904999999,19.5490592,-98.8831506,56030
nueva san antonio,56605,chalco,edomex,19.277786499999998,-98.89298009999999,19.2788502,-98.8928048,56605
caltenco,54665,coyotepec,edomex,19.7851966,-99.19969889999999,19.7850525,-99.2023662,
hueypoxtla,55670,hueypoxtla,edomex,19.91003475,-99.0769134,19.9109342,-99.07590739999999,55670
san pedro atzompa,55770,tecamac,cdmx,19.6842854,-99.02067054999999,19.6829744,-99.01533189999999,55770
santa ana tlachiahualpa,55994,temascalapa,edomex,19.769429000000002,-98.90932125,19.7647447,-98.90994189999999,55994
santa maria cozotlan,55810,teotihuacan,cdmx,19.702660799999997,-98.86296494999999,19.7036111,-98.86249989999999,55803
jardines de los claustros iii,54920,tultitlan,edomex,19.6726313,-99.0733202,19.6726313,-99.0733202,54920
acatepec,43050,huautla,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
santiaguito,56217,texcoco,edomex,19.52676215,-98.86992755,19.5276901,-98.86798200000001,56217
la providencia,54783,teoloyucan,edomex,19.754743750000003,-99.14661685,19.7605927,-99.14769079999999,
cuajimalpa,5000,cuajimalpa de morelos,edomex,19.359435400000002,-99.29561204999999,19.3557507,-99.2993504,05000
reyes,54665,coyotepec,edomex,19.7792152,-99.198925,19.7792991,-99.19959689999999,54665
tepeixco,73312,zacatlan,cdmx,20.027107,-97.95899355,20.0282085,-97.9579242,73312
san lucas huitzilhuacan,56040,chiautla,edomex,19.5901166,-98.8872289,19.5888011,-98.8845297,
ixtapacalco,54666,coyotepec,edomex,19.76336685,-99.1984631,19.7675068,-99.19959689999999,54666
villa de las flores 1a seccion,55710,coacalco de berriozabal,edomex,19.647465099999998,-99.09513894999999,19.6444313,-99.098584,55710
papalotla,56050,papalotla,edomex,19.5636878,-98.85791964999999,19.5639366,-98.8579862,56050
texcoco de mora centro,56100,texcoco,edomex,19.5118063,-98.8815834,19.5118063,-98.8815834,56100
san pablo atlazalpan,56620,chalco,edomex,19.21437365,-98.90865299999999,19.2143287,-98.9109211,56620
villa magna,43806,tizayuca,edomex,19.32640465,-99.60497885000001,19.4968732,-99.72326729999999,
santa maria,56270,chiconcuac,cdmx,19.5637559,-98.89617095,19.5646651,-98.8955634,56270
los heroes tecamac ii,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.03806229999999,55764
santa cruz,54783,teoloyucan,edomex,19.7586911,-99.15749,19.7578494,-99.1580693,54783
bulevares del lago,54473,nicolas romero,edomex,19.60012525,-99.2727811,19.598982,-99.27405399999999,
santa maria mazatla,54570,jilotzingo,edomex,19.5428516,-99.40450154999999,19.5403441,-99.40339069999999,54570
lomas de tultepec,54970,tultepec,edomex,19.69849845,-99.1132808,19.6985847,-99.11345120000001,54970
el tenayo centro,54140,tlalnepantla de baz,cdmx,19.5435986,-99.16560125,19.5451936,-99.16637310000002,54140
santa maria,55880,acolman,edomex,19.6594031,-98.9016863,19.659035,-98.8955634,55880
solidaridad,56740,tlalmanalco,edomex,19.2113769,-98.76218019999999,19.2113042,-98.762057,
san jose la loma,55620,zumpango,edomex,19.81048895,-99.1642702,19.8120391,-99.16498910000001,55620
santo tomas apipilhuasco,56080,tepetlaoxtoc,edomex,19.5427022,-98.74465365,19.5429453,-98.7484755,56080
dr. jorge jimenez cantu,54190,tlalnepantla de baz,cdmx,19.536974,-99.0934502,19.5385926,-99.0930528,54190
ozumba de alzate,56800,ozumba,edomex,19.0396262,-98.79546524999999,19.0391002,-98.79500150000001,56800
19 de septiembre,55070,ecatepec de morelos,cdmx,19.6111872,-99.00965515,19.6112428,-99.0097091,55070
nueva idependencia,55603,zumpango,cdmx,19.761369950000002,-99.0735479,19.7634908,-99.07646129999999,55603
lomas de la era,1860,alvaro obregon,cdmx,19.3220122,-99.2618773,19.3185335,-99.26400699999999,01860
santa barbara,54713,cuautitlan izcalli,edomex,19.71721915,-99.18516,19.7156221,-99.18304,54713
heroes de padierna,14200,tlalpan,cdmx,19.28528385,-99.2198642,19.2863543,-99.2162139,14200
san pablo de las salinas,54930,tultitlan,edomex,19.6707724,-99.09140785,19.6682966,-99.0930528,54930
olivar santa maria,13546,tlahuac,cdmx,19.24307175,-99.01071809999999,19.2415397,-99.0091125,13546
miguel hidalgo 3a seccion,14250,tlalpan,cdmx,19.2876729,-99.1618129,19.2876729,-99.1618129,14080
atlampa,6450,cuauhtemoc,cdmx,19.45906015,-99.1554414,19.457351,-99.15530160000002,06450
morelos,6200,cuauhtemoc,cdmx,19.4473413,-99.13098625,19.4468231,-99.1303962,06200
ehecatl (paseos de ecatepec),55029,ecatepec de morelos,edomex,19.626206949999997,-99.0489188,19.6266072,-99.0491856,
santa lilia chamapa,53490,naucalpan de juarez,edomex,19.4594093,-99.25915655,19.4590786,-99.2588107,
san francisco de paula (paula),55993,temascalapa,edomex,19.80472795,-98.9283119,19.8045306,-98.92592189999999,
misiones teoloyucan,54770,teoloyucan,edomex,19.7429639,-99.1873592,19.7426681,-99.18817469999999,54770
santa teresa ix,54694,huehuetoca,edomex,19.8658207,-99.2234851,19.8658207,-99.2234851,54694
san marcos nepantla,55887,acolman,edomex,19.66635755,-98.93236615,19.6680587,-98.9334124,55887
santa teresa 1,54694,huehuetoca,edomex,19.8392245,-99.230441,19.8392245,-99.230441,54694
