SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
la presa (tejocote),53217,naucalpan de juarez,edomex,19.4861886,-99.28794564999998,19.485729,-99.2884339,
la era,54786,teoloyucan,edomex,19.748159,-99.1929237,19.748159,-99.1929237,54786
altamira,53700,naucalpan de juarez,edomex,19.45331975,-99.2530058,19.4531907,-99.2515365,53700
san martin de las piramides,55850,san martin de las piramides,edomex,19.703375299999998,-98.83284359999999,19.704346,-98.8347275,55850
san lorenzo totolinga,53426,naucalpan de juarez,edomex,19.46154025,-99.26383009999999,19.4606891,-99.2633141,
5 de mayo,55749,tecamac,edomex,19.69151905,-98.98155904999999,19.6916713,-98.9817178,55749
santa cruz,54783,teoloyucan,edomex,19.7586911,-99.15749,19.7578494,-99.1580693,54783
tlaixco,56337,chimalhuacan,edomex,19.413310000000003,-98.95944115,19.4134185,-98.9583473,
san francisco chimalpa,53650,naucalpan de juarez,edomex,19.43875065,-99.34337255,19.4390545,-99.34389809999999,53650
tequisistlan,56020,tezoyuca,edomex,19.5987266,-98.9422021,19.5966042,-98.9402176,56020
isidro fabela,54110,tlalnepantla de baz,edomex,19.5816516,-99.19289135,19.5817783,-99.1930203,
santa maria tonanitla,55785,tonanitla,edomex,19.686857449999998,-99.05160194999999,19.6879468,-99.0543447,55785
la palma,55507,ecatepec de morelos,edomex,19.55995405,-99.06298064999999,19.5576713,-99.0654022,55507
san francisco jolanpan,56070,tepetlaoxtoc,edomex,19.5742902,-98.8502536,19.5742902,-98.8502536,56070
lomas del cadete,53719,naucalpan de juarez,edomex,19.4356976,-99.2734533,19.4358535,-99.2737076,53719
general jose vicente villada,57710,nezahualcoyotl,edomex,19.38436565,-99.00954669999999,19.3835914,-99.0101299,57710
transportistas,56363,chimalhuacan,edomex,19.44107315,-98.9738946,19.4398291,-98.9756044,56363
fidel velazquez,54743,cuautitlan izcalli,edomex,19.63073655,-99.20629585,19.6304702,-99.2061741,54743
joyas de cuautitlan,54803,cuautitlan,edomex,19.68367225,-99.14549845,19.6840148,-99.1452039,54803
granjas valle de guadalupe sec,55270,ecatepec de morelos,edomex,19.5063812,-99.0609453,19.5048926,-99.0598732,55270
coatepec,56580,ixtapaluca,edomex,19.383125999999997,-98.8430029,19.3852445,-98.8479381,56580
dr. jorge jimenez cantu,54190,tlalnepantla de baz,edomex,19.536974,-99.0934502,19.5385926,-99.0930528,54190
los heroes tecamac ii,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.03806229999999,55764
los heroes tecamac,55764,tecamac,edomex,19.63306455,-99.02821895,19.6362098,-99.03806229999999,55764
santa martha acaticla norte,9914,iztapalapa,edomex,19.3613383,-99.00781265,19.3615578,-99.0087486,
ejidal emiliano zapata,55024,ecatepec de morelos,edomex,19.610771649999997,-99.06128394999999,19.6102401,-99.0605643,
penitas,52920,atizapan de zaragoza,edomex,19.585322050000002,-99.22224015,19.5865698,-99.2217537,52920
fuentes de aragon,55248,ecatepec de morelos,edomex,19.516921,-99.03088875,19.5166635,-99.0308525,55248
las huertas 3a seccion,53427,naucalpan de juarez,edomex,19.4600989,-99.2894912,19.4600989,-99.2894912,53427
acuitlapilco primera seccion,56335,chimalhuacan,edomex,19.4205075,-98.9274983,19.4205075,-98.9274983,56335
santa maria nativitas,56335,chimalhuacan,edomex,19.410800549999998,-98.9334334,19.4109939,-98.93281370000001,
san antonio xahuento,54976,tultepec,edomex,19.69046445,-99.1125816,19.6924429,-99.11103080000001,54976
olimpiada 68 (san rafael chama,53690,naucalpan de juarez,edomex,19.4445964,-99.2883166,19.4445964,-99.2883166,53690
visitacion,54890,melchor ocampo,edomex,19.7188278,-99.13770115,19.7193934,-99.1317797,54890
real del sol,55767,tecamac,edomex,19.6636608,-99.0206838,19.6636608,-99.0206838,55767
nuevo paseo de san agustin 2a,55130,ecatepec de morelos,edomex,19.5300614,-99.0397105,19.5293051,-99.04328869999999,55130
tlatel xochitenco,56366,chimalhuacan,edomex,19.44715815,-98.96716645,19.4462716,-98.9645594,56366
las brisas,55883,acolman,edomex,19.602871,-98.9794646,19.6024679,-98.9804371,55883
la piedad fase a,54720,cuautitlan izcalli,edomex,19.6615727,-99.23751665,19.6668322,-99.23698999999999,54720
san rafael chamapa iv,53680,naucalpan de juarez,edomex,19.444641349999998,-99.27514015,19.4460926,-99.2750935,53680
central michoacana,55170,ecatepec de morelos,edomex,19.5218456,-99.0224032,19.5222713,-99.0218721,55170
santa maria ajoloapan,55679,hueypoxtla,edomex,19.9765798,-99.0491762,19.9771292,-99.04785489999999,55679
nuevo paseo de san agustin 2da,55130,ecatepec de morelos,edomex,19.527266,-99.03652029999999,19.527266,-99.03652029999999,55130
dos rios segunda seccion,54840,cuautitlan,edomex,19.679311849999998,-99.17605114999999,19.6795176,-99.1761681,54840
lomas de san agustin,53490,naucalpan de juarez,edomex,19.46164955,-99.25466505,19.4611149,-99.25500029999999,53490
parque san mateo (hacienda san,54830,cuautitlan,edomex,19.71095,-99.15843000000001,19.71095,-99.15843000000001,54830
cantaros i,54473,nicolas romero,edomex,19.591489199999998,-99.28273304999999,19.5911862,-99.2823698,
tablas del pozo,55510,ecatepec de morelos,edomex,19.5515576,-99.08586895,19.5506616,-99.0875219,55510
ex-hacienda santa ines,55796,nextlalpan,edomex,19.70272275,-99.07199795,19.7044763,-99.0699314,55796
san francisco zacango,55899,acolman,edomex,19.6137192,-98.90378695,19.6114382,-98.90383969999999,55899
izcalli chamapa,53689,naucalpan de juarez,edomex,19.4412378,-99.2814931,19.4421617,-99.2799443,53689
tlapipinca,56680,cocotitlan,edomex,19.234093950000002,-98.8693428,19.2327722,-98.8707397,56680
coyotepec,54660,coyotepec,edomex,19.775573,-99.20721635,19.7752211,-99.20721259999999,54660
potrero la laguna 1a seccion,55718,coacalco de berriozabal,edomex,19.64712775,-99.07856079999999,19.6476579,-99.078535,55718
cuautzozongo,56860,juchitepec,edomex,19.101120899999998,-98.8842522,19.1024626,-98.8845297,56860
sagitario iii,55238,ecatepec de morelos,edomex,19.49679,-99.01706,19.49679,-99.01706,55238
tlatenco,54770,teoloyucan,edomex,19.74297025,-99.1850657,19.7446352,-99.185752,54770
san pablo atlazalpan,56620,chalco,edomex,19.21437365,-98.90865299999999,19.2143287,-98.9109211,56620
paseos de lago 2,55604,zumpango,edomex,19.79276005,-99.06689119999999,19.7926994,-99.0674757,55607
lomas de san miguel norte,52928,atizapan de zaragoza,edomex,19.596259500000002,-99.2352847,19.5946997,-99.23560479999999,52928
san rafael,56740,tlalmanalco,edomex,19.201840750000002,-98.7597939,19.2070756,-98.7618849,56740
santiago yucuyachi,69420,santiago yucuyachi,edomex,17.6081778,-98.1966696,17.6031541,-98.1991539,69420
ampliacion jorge jimenez cantu,56513,la paz,edomex,19.3702722,-98.93551994999999,19.3703186,-98.9354981,56513
